Sample,shannon_index_TCR,shannon_index_tool,tool,new_total_reads_tool,est_reads,clonotype_count_tool,SDI_absolute_error
sample01,1.0726745756027303,0.3885746729235622,MIXCR,28309,28000,111,0.6840999026791681
sample01,1.0726745756027303,0.44611602893456304,IMREP,28309,28000,194,0.6265585466681672
sample01,1.0726745756027303,0.44055679867832054,TRUST4,28309,28000,199,0.6321177769244097
sample01,1.0726745756027303,0.4395133360947929,CATT,28309,28000,126,0.6331612395079373
sample01,1.0726745756027303,0.35483860212606466,MIXCR,13769,13500,10,0.7178359734766656
sample01,1.0726745756027303,0.40655729792686884,IMREP,13769,13500,64,0.6661172776758615
sample01,1.0726745756027303,0.4026184330064709,TRUST4,13769,13500,67,0.6700561425962595
sample01,1.0726745756027303,0.4105088650827634,CATT,13769,13500,32,0.6621657105199669
sample01,1.0726745756027303,0.3486092652652795,MIXCR,2721,2600,1,0.7240653103374508
sample01,1.0726745756027303,0.36477852731737215,IMREP,2721,2600,7,0.7078960482853581
sample01,1.0726745756027303,0.35671614356558257,TRUST4,2721,2600,5,0.7159584320371477
sample01,1.0726745756027303,0.39652904541488365,CATT,2721,2600,8,0.6761455301878466
sample01,1.0726745756027303,0.34881992563265907,MIXCR,1375,1300,1,0.7238546499700712
sample01,1.0726745756027303,0.35572598984898646,IMREP,1375,1300,3,0.7169485857537439
sample01,1.0726745756027303,0.35047056511436775,TRUST4,1375,1300,2,0.7222040104883625
sample01,1.0726745756027303,0.388826948765466,CATT,1375,1300,4,0.6838476268372643
sample01,1.0726745756027303,0.3497759217106254,MIXCR,317,310,1,0.722898653892105
sample01,1.0726745756027303,0.34501908479697074,IMREP,317,310,1,0.7276554908057595
sample01,1.0726745756027303,0.34626769650287215,TRUST4,317,310,1,0.7264068790998581
sample01,1.0726745756027303,0.37436059980929604,CATT,317,310,2,0.6983139757934342
sample02,1.0012016309631462,0.5036590424109295,MIXCR,27675,28000,412,0.49754258855221667
sample02,1.0012016309631462,0.7145847881506894,IMREP,27675,28000,931,0.2866168428124568
sample02,1.0012016309631462,0.5841282715604598,TRUST4,27675,28000,514,0.4170733594026864
sample02,1.0012016309631462,0.5652972474386558,CATT,27675,28000,303,0.43590438352449035
sample02,1.0012016309631462,0.3764952991642946,MIXCR,12846,13500,32,0.6247063317988516
sample02,1.0012016309631462,0.46141679860912654,IMREP,12846,13500,137,0.5397848323540196
sample02,1.0012016309631462,0.4645228622537383,TRUST4,12846,13500,117,0.5366787687094079
sample02,1.0012016309631462,0.4999339459940578,CATT,12846,13500,61,0.5012676849690884
sample02,1.0012016309631462,0.35695473428450775,MIXCR,2509,2600,2,0.6442468966786384
sample02,1.0012016309631462,0.36516238631263226,IMREP,2509,2600,9,0.6360392446505139
sample02,1.0012016309631462,0.3963483065249368,TRUST4,2509,2600,18,0.6048533244382094
sample02,1.0012016309631462,0.471894170780208,CATT,2509,2600,14,0.5293074601829382
sample02,1.0012016309631462,0.3544788149921618,MIXCR,1263,1300,1,0.6467228159709844
sample02,1.0012016309631462,0.3551773517214094,IMREP,1263,1300,4,0.6460242792417368
sample02,1.0012016309631462,0.3697110213143622,TRUST4,1263,1300,6,0.631490609648784
sample02,1.0012016309631462,0.46032437743176,CATT,1263,1300,7,0.5408772535313862
sample02,1.0012016309631462,0.35581495707279565,MIXCR,288,310,1,0.6453866738903505
sample02,1.0012016309631462,0.33924981482608907,IMREP,288,310,1,0.6619518161370571
sample02,1.0012016309631462,0.3423295983061436,TRUST4,288,310,1,0.6588720326570026
sample02,1.0012016309631462,0.4263076770249462,CATT,288,310,2,0.5748939539382
sample03,0.9605164909043146,0.4583940325389507,MIXCR,28016,28000,110,0.5021224583653638
sample03,0.9605164909043146,0.522485796211412,IMREP,28016,28000,326,0.43803069469290257
sample03,0.9605164909043146,0.5025564933723866,TRUST4,28016,28000,242,0.45795999753192795
sample03,0.9605164909043146,0.5190761858416747,CATT,28016,28000,159,0.44144030506263987
sample03,0.9605164909043146,0.44242444992121976,MIXCR,13600,13500,39,0.5180920409830948
sample03,0.9605164909043146,0.45616552815353895,IMREP,13600,13500,100,0.5043509627507756
sample03,0.9605164909043146,0.45414041819181894,TRUST4,13600,13500,85,0.5063760727124956
sample03,0.9605164909043146,0.4931980604681357,CATT,13600,13500,62,0.4673184304361789
sample03,0.9605164909043146,0.4168709641612658,MIXCR,2668,2600,4,0.5436455267430488
sample03,0.9605164909043146,0.39166395788307246,IMREP,2668,2600,12,0.5688525330212422
sample03,0.9605164909043146,0.4047836367667267,TRUST4,2668,2600,14,0.5557328541375879
sample03,0.9605164909043146,0.4635490021371011,CATT,2668,2600,12,0.49696748876721347
sample03,0.9605164909043146,0.414189577917,MIXCR,1343,1300,3,0.5463269129873145
sample03,0.9605164909043146,0.37147677296758014,IMREP,1343,1300,5,0.5890397179367344
sample03,0.9605164909043146,0.3919086708648824,TRUST4,1343,1300,8,0.5686078200394322
sample03,0.9605164909043146,0.4506735568454844,CATT,1343,1300,6,0.5098429340588302
sample03,0.9605164909043146,0.4230339199963802,MIXCR,310,310,3,0.5374825709079344
sample03,0.9605164909043146,0.35758005531233883,IMREP,310,310,2,0.6029364355919757
sample03,0.9605164909043146,0.3604584045607446,TRUST4,310,310,2,0.6000580863435699
sample03,0.9605164909043146,0.4401180684404344,CATT,310,310,3,0.5203984224638802
