Sample,tissue,tissue_type,repertoire_type,class,total_reads_TCR,total_reads_tool,total_reads_RNA_seq,tool,TCR_derived_by_RNA_seq_tool
SRR5233637,small_intestine,T_cell_poor,high_SDI,T_cell_poor_high_SDI,3047629.0,84.0,72720367,MIXCR,1.1551096819959668
SRR5233639,lymph_node,T_cell_rich,high_SDI,T_cell_rich_high_SDI,3256697.0,1346.0,65998918,MIXCR,20.394273736427014
TCGA-CZ-4862,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,16784.0,0.0,58529923,MIXCR,0.0
TCGA-CZ-5463,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,806.0,0.0,122632451,MIXCR,0.0
TCGA-CZ-5985,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,12998.0,0.0,83862519,MIXCR,0.0
sample01,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,90577.0,132472.0,104984482,MIXCR,1261.8245808937745
sample02,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,87762.0,41370.0,73892845,MIXCR,559.8647609250936
sample03,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,305953.0,52066.0,71654976,MIXCR,726.6208560309893
sample04,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,104779.0,158.0,43179989,MIXCR,3.659102367997361
sample05,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,18617.0,55.0,40524817,MIXCR,1.357193050372072
sample06,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,906121.0,91.0,82476159,MIXCR,1.1033491508740119
sample07,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1257571.0,0.0,72397468,MIXCR,0.0
sample08,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1408590.0,150.0,85492431,MIXCR,1.7545412879884068
sample09,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1157845.0,310.0,68584414,MIXCR,4.5199773814499595
sample10,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1769522.0,59.0,63320771,MIXCR,0.9317637651632511
sample11,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1006220.0,12.0,55727841,MIXCR,0.2153322250542597
sample12,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,292828.0,8.0,107919183,MIXCR,0.074129545624896
sample13,melanoma,T_cell_poor,low_SDI,T_cell_poor_low_SDI,12954.0,1071.0,80622502,MIXCR,13.284132511789325
sample14,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,749686.0,113.0,55931661,MIXCR,2.0203226219224923
SRR5233637,small_intestine,T_cell_poor,high_SDI,T_cell_poor_high_SDI,3047629.0,315.0,72720367,IMREP,4.331661307484875
SRR5233639,lymph_node,T_cell_rich,high_SDI,T_cell_rich_high_SDI,3256697.0,6143.0,65998918,IMREP,93.0772834791019
TCGA-CZ-4862,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,16784.0,50.0,58529923,IMREP,0.8542638950678272
TCGA-CZ-5463,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,806.0,16.0,122632451,IMREP,0.13047117520304638
TCGA-CZ-5985,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,12998.0,23.0,83862519,IMREP,0.2742583966503558
sample01,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,90577.0,219185.0,104984482,IMREP,2087.7847451778634
sample02,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,87762.0,57700.0,73892845,IMREP,780.860447313945
sample03,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,305953.0,64914.0,71654976,IMREP,905.9245236506673
sample04,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,104779.0,1354.0,43179989,IMREP,31.357117761192573
sample05,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,18617.0,111.0,40524817,IMREP,2.7390623380236363
sample06,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,906121.0,231.0,82476159,IMREP,2.8008093829878766
sample07,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1257571.0,2.0,72397468,IMREP,0.027625275513779017
sample08,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1408590.0,259.0,85492431,IMREP,3.029507957259982
sample09,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1157845.0,334.0,68584414,IMREP,4.869911114207377
sample10,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1769522.0,71.0,63320771,IMREP,1.121275039433743
sample11,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1006220.0,31.0,55727841,IMREP,0.5562749147235042
sample12,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,292828.0,10.0,107919183,IMREP,0.09266193203112
sample13,melanoma,T_cell_poor,low_SDI,T_cell_poor_low_SDI,12954.0,844.0,80622502,IMREP,10.468541400513717
sample14,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,749686.0,152.0,55931661,IMREP,2.717602110904591
SRR5233637,small_intestine,T_cell_poor,high_SDI,T_cell_poor_high_SDI,3047629.0,544.0,72720367,TRUST4,7.48071032149769
SRR5233639,lymph_node,T_cell_rich,high_SDI,T_cell_rich_high_SDI,3256697.0,9054.0,65998918,TRUST4,137.18406716910116
TCGA-CZ-4862,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,16784.0,710.0,58529923,TRUST4,12.130547309963145
TCGA-CZ-5463,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,806.0,366.0,122632451,TRUST4,2.984528132769686
TCGA-CZ-5985,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,12998.0,282.0,83862519,TRUST4,3.3626464284956668
sample01,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,90577.0,264884.0,104984482,TRUST4,2523.0776487519365
sample02,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,87762.0,89947.0,73892845,TRUST4,1217.2626456594005
sample03,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,305953.0,99723.0,71654976,TRUST4,1391.710744554572
sample04,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,104779.0,2006.0,43179989,TRUST4,46.4567047481184
sample05,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,18617.0,186.0,40524817,TRUST4,4.589780133985553
sample06,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,906121.0,689.0,82476159,TRUST4,8.353929285188949
sample07,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1257571.0,19.0,72397468,TRUST4,0.2624401173809007
sample08,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1408590.0,657.0,85492431,TRUST4,7.684890841389222
sample09,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1157845.0,1009.0,68584414,TRUST4,14.711797348009709
sample10,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1769522.0,306.0,63320771,TRUST4,4.832537493897539
sample11,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1006220.0,63.0,55727841,TRUST4,1.1304941815348635
sample12,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,292828.0,39.0,107919183,TRUST4,0.36138153492136793
sample13,melanoma,T_cell_poor,low_SDI,T_cell_poor_low_SDI,12954.0,2855.0,80622502,TRUST4,35.41194987969983
sample14,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,749686.0,351.0,55931661,TRUST4,6.275515400838891
SRR5233637,small_intestine,T_cell_poor,high_SDI,T_cell_poor_high_SDI,3047629.0,5616.0,72720367,CATT,77.2273330248732
SRR5233639,lymph_node,T_cell_rich,high_SDI,T_cell_rich_high_SDI,3256697.0,5873.0,65998918,CATT,88.98630732097759
TCGA-CZ-4862,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,16784.0,642.0,58529923,CATT,10.9687484126709
TCGA-CZ-5463,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,806.0,845.0,122632451,CATT,6.890508940410887
TCGA-CZ-5985,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,12998.0,915.0,83862519,CATT,10.910714475438068
sample01,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,90577.0,214716.0,104984482,CATT,2045.2165492420106
sample02,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,87762.0,72800.0,73892845,CATT,985.2104083961038
sample03,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,305953.0,79629.0,71654976,CATT,1111.2836043654527
sample04,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,104779.0,4050.0,43179989,CATT,93.79344677461589
sample05,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,18617.0,1724.0,40524817,CATT,42.541833069844586
sample06,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,906121.0,4057.0,82476159,CATT,49.18997258347106
sample07,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1257571.0,3298.0,72397468,CATT,45.5540793222216
sample08,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1408590.0,3543.0,85492431,CATT,41.442265222286174
sample09,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1157845.0,1976.0,68584414,CATT,28.81121066369394
sample10,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1769522.0,1972.0,63320771,CATT,31.143019405117478
sample11,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,1006220.0,1739.0,55727841,CATT,31.205228280779803
sample12,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,292828.0,4985.0,107919183,CATT,46.191973117513314
sample13,melanoma,T_cell_poor,low_SDI,T_cell_poor_low_SDI,12954.0,5052.0,80622502,CATT,62.66240658222191
