Sample,shannon_index_tool,clonotype_count_tool,tool,shannon_index_TCR,clonotype_count_TCR,repertoire_type,tissue,tissue_type,SDI_absolute_error,class,clonality_TCR,clonality_tool,clonality_absolute_error
addsample01,4.514224648661149,100,MIXCR,7.951096192806194,3123,high_SDI,PBMC,T_cell_rich,3.4368715441450446,T_cell_rich_high_SDI,0.011862620887360675,0.01974857250740869,0.007885951620048015
addsample01,4.418334311962068,86,IMREP,7.951096192806194,3123,high_SDI,PBMC,T_cell_rich,3.5327618808441255,T_cell_rich_high_SDI,0.011862620887360675,0.00808490714716592,0.0037777137401947547
addsample01,4.646404390083883,169,TRUST4,7.951096192806194,3123,high_SDI,PBMC,T_cell_rich,3.304691802722311,T_cell_rich_high_SDI,0.011862620887360675,0.09425026724849106,0.08238764636113038
addsample01,5.040143869472823,379,CATT,7.951096192806194,3123,high_SDI,PBMC,T_cell_rich,2.9109523233333707,T_cell_rich_high_SDI,0.011862620887360675,0.15113884018786294,0.13927621930050227
addsample02,4.383436417053549,156,MIXCR,7.82471346467911,7038,high_SDI,PBMC,T_cell_rich,3.4412770476255616,T_cell_rich_high_SDI,0.11675771444044003,0.13196803814589586,0.01521032370545583
addsample02,4.424008724939595,129,IMREP,7.82471346467911,7038,high_SDI,PBMC,T_cell_rich,3.400704739739515,T_cell_rich_high_SDI,0.11675771444044003,0.08967500042407883,0.027082714016361198
addsample02,4.78144534709545,237,TRUST4,7.82471346467911,7038,high_SDI,PBMC,T_cell_rich,3.0432681175836604,T_cell_rich_high_SDI,0.11675771444044003,0.1255682593675982,0.00881054492715816
addsample02,5.33789997526302,446,CATT,7.82471346467911,7038,high_SDI,PBMC,T_cell_rich,2.4868134894160905,T_cell_rich_high_SDI,0.11675771444044003,0.1249801826352992,0.008222468194859167
addsample03,3.929793724833448,52,MIXCR,9.434150107553528,17329,high_SDI,PBMC,T_cell_rich,5.504356382720079,T_cell_rich_high_SDI,0.03339979560260964,0.005428668863706632,0.027971126738903007
addsample03,3.943425810610021,53,IMREP,9.434150107553528,17329,high_SDI,PBMC,T_cell_rich,5.490724296943506,T_cell_rich_high_SDI,0.03339979560260964,0.006766782777456903,0.026633012825152735
addsample03,4.252761645305212,98,TRUST4,9.434150107553528,17329,high_SDI,PBMC,T_cell_rich,5.181388462248315,T_cell_rich_high_SDI,0.03339979560260964,0.07245543941386567,0.039055643811256036
addsample03,5.265938871361087,371,CATT,9.434150107553528,17329,high_SDI,PBMC,T_cell_rich,4.168211236192441,T_cell_rich_high_SDI,0.03339979560260964,0.10991226877733773,0.07651247317472809
addsample04,3.708930737091729,42,MIXCR,9.857141039125958,28783,high_SDI,PBMC,T_cell_rich,6.148210302034229,T_cell_rich_high_SDI,0.03997054468563477,0.007688983812549677,0.03228156087308509
addsample04,3.718082893318996,42,IMREP,9.857141039125958,28783,high_SDI,PBMC,T_cell_rich,6.1390581458069615,T_cell_rich_high_SDI,0.03997054468563477,0.005240357486001712,0.034730187199633056
addsample04,4.029609059679731,70,TRUST4,9.857141039125958,28783,high_SDI,PBMC,T_cell_rich,5.827531979446227,T_cell_rich_high_SDI,0.03997054468563477,0.05152087266173877,0.011550327976104002
addsample04,4.979623036483341,355,CATT,9.857141039125958,28783,high_SDI,PBMC,T_cell_rich,4.877518002642617,T_cell_rich_high_SDI,0.03997054468563477,0.15198856443099484,0.11201801974536008
addsample05,5.292414621616084,236,MIXCR,8.906202261834368,12839,high_SDI,PBMC,T_cell_rich,3.613787640218284,T_cell_rich_high_SDI,0.05856513926335316,0.03137307104729281,0.02719206821606035
addsample05,5.065916708286837,172,IMREP,8.906202261834368,12839,high_SDI,PBMC,T_cell_rich,3.840285553547531,T_cell_rich_high_SDI,0.05856513926335316,0.01584805362960129,0.04271708563375187
addsample05,5.4442998432219225,380,TRUST4,8.906202261834368,12839,high_SDI,PBMC,T_cell_rich,3.4619024186124454,T_cell_rich_high_SDI,0.05856513926335316,0.0834776285736567,0.024912489310303543
addsample05,6.148622580472238,663,CATT,8.906202261834368,12839,high_SDI,PBMC,T_cell_rich,2.75757968136213,T_cell_rich_high_SDI,0.05856513926335316,0.053588497406721,0.004976641856632158
addsample06,5.742241861270329,365,MIXCR,8.385267120473195,7626,high_SDI,PBMC,T_cell_rich,2.643025259202866,T_cell_rich_high_SDI,0.06197917716472845,0.026721734780085993,0.03525744238464246
addsample06,5.494867322746253,266,IMREP,8.385267120473195,7626,high_SDI,PBMC,T_cell_rich,2.8903997977269418,T_cell_rich_high_SDI,0.06197917716472845,0.015873384906881838,0.04610579225784661
addsample06,5.70465450631786,498,TRUST4,8.385267120473195,7626,high_SDI,PBMC,T_cell_rich,2.6806126141553346,T_cell_rich_high_SDI,0.06197917716472845,0.08146484469004467,0.01948566752531622
addsample06,5.940128488619045,694,CATT,8.385267120473195,7626,high_SDI,PBMC,T_cell_rich,2.4451386318541495,T_cell_rich_high_SDI,0.06197917716472845,0.09206664935268594,0.030087472187957487
addsample07,4.33610403307829,86,MIXCR,9.584191914997543,23753,high_SDI,PBMC,T_cell_rich,5.248087881919253,T_cell_rich_high_SDI,0.04875926275547238,0.026545586886471573,0.022213675869000804
addsample07,4.2200362050463704,75,IMREP,9.584191914997543,23753,high_SDI,PBMC,T_cell_rich,5.364155709951173,T_cell_rich_high_SDI,0.04875926275547238,0.022571436429530745,0.026187826325941632
addsample07,4.692248495158593,146,TRUST4,9.584191914997543,23753,high_SDI,PBMC,T_cell_rich,4.89194341983895,T_cell_rich_high_SDI,0.04875926275547238,0.058463307533263564,0.009704044777791188
addsample07,4.728444955772318,327,CATT,9.584191914997543,23753,high_SDI,PBMC,T_cell_rich,4.855746959225225,T_cell_rich_high_SDI,0.04875926275547238,0.18333722232849758,0.1345779595730252
addsample08,4.82398361272296,132,MIXCR,9.626993665709577,24307,high_SDI,PBMC,T_cell_rich,4.803010052986617,T_cell_rich_high_SDI,0.04669258506690377,0.012046015954760514,0.034646569112143255
addsample08,4.599000521916181,104,IMREP,9.626993665709577,24307,high_SDI,PBMC,T_cell_rich,5.027993143793396,T_cell_rich_high_SDI,0.04669258506690377,0.009773160401632675,0.036919424665271094
addsample08,4.83555161526036,194,TRUST4,9.626993665709577,24307,high_SDI,PBMC,T_cell_rich,4.791442050449217,T_cell_rich_high_SDI,0.04669258506690377,0.08206495519610502,0.03537237012920125
addsample08,6.82420620521383,1228,CATT,9.626993665709577,24307,high_SDI,PBMC,T_cell_rich,2.802787460495747,T_cell_rich_high_SDI,0.04669258506690377,0.040620009986806704,0.006072575080097065
addsample09,4.087922694933939,63,MIXCR,9.985733379838402,46941,high_SDI,PBMC,T_cell_rich,5.897810684904464,T_cell_rich_high_SDI,0.07166856078875383,0.013326149185035274,0.05834241160371856
addsample09,3.8594676124733813,52,IMREP,9.985733379838402,46941,high_SDI,PBMC,T_cell_rich,6.126265767365021,T_cell_rich_high_SDI,0.07166856078875383,0.023227143817136087,0.048441416971617746
