Sample,shannon_index_tool,clonotype_count_tool,tool,shannon_index_TCR,clonotype_count_TCR,repertoire_type,tissue,tissue_type,SDI_absolute_error,class,clonality_TCR,clonality_tool,clonality_absolute_error
addsample01,6.267098804758414,579,MIXCR,8.322486115876847,4834,high_SDI,PBMC,T_cell_rich,2.055387311118433,T_cell_rich_high_SDI,0.018971507245309382,0.014808865503047497,0.0041626417422618855
addsample01,4.709526194793295,117,IMREP,8.322486115876847,4834,high_SDI,PBMC,T_cell_rich,3.6129599210835526,T_cell_rich_high_SDI,0.018971507245309382,0.011055400479969557,0.007916106765339825
addsample01,6.176205951202023,655,TRUST4,8.322486115876847,4834,high_SDI,PBMC,T_cell_rich,2.146280164674824,T_cell_rich_high_SDI,0.018971507245309382,0.04756308924491326,0.028591581999603877
addsample01,5.336821733401892,3146,CATT,8.322486115876847,4834,high_SDI,PBMC,T_cell_rich,2.9856643824749556,T_cell_rich_high_SDI,0.018971507245309382,0.33736074543966477,0.3183892381943554
addsample02,6.234805369954014,916,MIXCR,8.494930564081242,12482,high_SDI,PBMC,T_cell_rich,2.2601251941272285,T_cell_rich_high_SDI,0.09935412007657196,0.08580785784493905,0.01354626223163291
addsample02,4.437385052542693,156,IMREP,8.494930564081242,12482,high_SDI,PBMC,T_cell_rich,4.0575455115385495,T_cell_rich_high_SDI,0.09935412007657196,0.12128483541463075,0.021930715338058793
addsample02,6.1344265695497935,1050,TRUST4,8.494930564081242,12482,high_SDI,PBMC,T_cell_rich,2.3605039945314488,T_cell_rich_high_SDI,0.09935412007657196,0.11817918539023098,0.018825065313659017
addsample02,5.896966754586247,3803,CATT,8.494930564081242,12482,high_SDI,PBMC,T_cell_rich,2.5979638094949955,T_cell_rich_high_SDI,0.09935412007657196,0.28465649289922434,0.18530237282265238
addsample03,5.776223953341777,347,MIXCR,9.762279429296148,25228,high_SDI,PBMC,T_cell_rich,3.9860554759543714,T_cell_rich_high_SDI,0.03684303783779852,0.012497310263176464,0.024345727574622056
addsample03,3.815571778893007,47,IMREP,9.762279429296148,25228,high_SDI,PBMC,T_cell_rich,5.946707650403141,T_cell_rich_high_SDI,0.03684303783779852,0.00898038890812769,0.02786264892967083
addsample03,5.692140032154177,377,TRUST4,9.762279429296148,25228,high_SDI,PBMC,T_cell_rich,4.070139397141971,T_cell_rich_high_SDI,0.03684303783779852,0.04047458385601965,0.0036315460182211323
addsample03,6.766296109023744,3989,CATT,9.762279429296148,25228,high_SDI,PBMC,T_cell_rich,2.995983320272404,T_cell_rich_high_SDI,0.03684303783779852,0.18392779248507996,0.14708475464728143
addsample04,6.2228629939658635,559,MIXCR,9.90309971592296,31791,high_SDI,PBMC,T_cell_rich,3.6802367219570957,T_cell_rich_high_SDI,0.0447421187537278,0.016326910963379793,0.028415207790348007
addsample04,4.660628271029964,109,IMREP,9.90309971592296,31791,high_SDI,PBMC,T_cell_rich,5.242471444892995,T_cell_rich_high_SDI,0.0447421187537278,0.006548141807079744,0.038193976946648056
addsample04,6.207873915384189,681,TRUST4,9.90309971592296,31791,high_SDI,PBMC,T_cell_rich,3.69522580053877,T_cell_rich_high_SDI,0.0447421187537278,0.04839202508539475,0.0036499063316669522
addsample04,6.436931210524695,3855,CATT,9.90309971592296,31791,high_SDI,PBMC,T_cell_rich,3.4661685053982643,T_cell_rich_high_SDI,0.0447421187537278,0.22043929236730353,0.17569717361357573
addsample05,6.930310681827423,1296,MIXCR,9.127410790108128,17373,high_SDI,PBMC,T_cell_rich,2.1971001082807042,T_cell_rich_high_SDI,0.06507047759194318,0.03302999079262381,0.03204048679931937
addsample05,5.451296711234956,260,IMREP,9.127410790108128,17373,high_SDI,PBMC,T_cell_rich,3.676114078873171,T_cell_rich_high_SDI,0.06507047759194318,0.01967113513035179,0.045399342461591385
addsample05,6.898287269966293,1454,TRUST4,9.127410790108128,17373,high_SDI,PBMC,T_cell_rich,2.229123520141835,T_cell_rich_high_SDI,0.06507047759194318,0.05270289839771436,0.012367579194228817
addsample05,6.915541961573334,5171,CATT,9.127410790108128,17373,high_SDI,PBMC,T_cell_rich,2.2118688285347936,T_cell_rich_high_SDI,0.06507047759194318,0.19124237773249475,0.12617190014055157
addsample06,6.92257820028642,1349,MIXCR,8.727743713948364,11479,high_SDI,PBMC,T_cell_rich,1.8051655136619438,T_cell_rich_high_SDI,0.06637918476428906,0.03948049998873693,0.02689868477555213
addsample06,5.664263880110435,332,IMREP,8.727743713948364,11479,high_SDI,PBMC,T_cell_rich,3.0634798338379285,T_cell_rich_high_SDI,0.06637918476428906,0.024266634550332622,0.042112550213956434
addsample06,6.875016005949375,1653,TRUST4,8.727743713948364,11479,high_SDI,PBMC,T_cell_rich,1.852727707998989,T_cell_rich_high_SDI,0.06637918476428906,0.0722410279579293,0.005861843193640248
addsample06,7.158456675701111,5699,CATT,8.727743713948364,11479,high_SDI,PBMC,T_cell_rich,1.5692870382472526,T_cell_rich_high_SDI,0.06637918476428906,0.172245767906682,0.10586658314239294
addsample07,6.2858091227468265,591,MIXCR,9.74603410152283,30132,high_SDI,PBMC,T_cell_rich,3.4602249787760027,T_cell_rich_high_SDI,0.055007276198482336,0.015043820504605288,0.03996345569387705
addsample07,4.674761581566434,112,IMREP,9.74603410152283,30132,high_SDI,PBMC,T_cell_rich,5.071272519956395,T_cell_rich_high_SDI,0.055007276198482336,0.009269322918510126,0.04573795327997221
addsample07,6.177358415895929,616,TRUST4,9.74603410152283,30132,high_SDI,PBMC,T_cell_rich,3.5686756856269,T_cell_rich_high_SDI,0.055007276198482336,0.03828103590498155,0.016726240293500783
addsample07,5.873196299110027,3547,CATT,9.74603410152283,30132,high_SDI,PBMC,T_cell_rich,3.8728378024128025,T_cell_rich_high_SDI,0.055007276198482336,0.2814657789658399,0.22645850276735757
addsample08,6.439074913143431,810,MIXCR,10.112029234559488,39901,high_SDI,PBMC,T_cell_rich,3.672954321416057,T_cell_rich_high_SDI,0.04550880696750659,0.038518443386031165,0.006990363581475423
addsample08,5.192897153365524,200,IMREP,10.112029234559488,39901,high_SDI,PBMC,T_cell_rich,4.919132081193964,T_cell_rich_high_SDI,0.04550880696750659,0.019896923096397234,0.025611883871109353
addsample08,6.2348037468572395,1000,TRUST4,10.112029234559488,39901,high_SDI,PBMC,T_cell_rich,3.8772254877022485,T_cell_rich_high_SDI,0.04550880696750659,0.09741971233006064,0.05191090536255405
addsample08,5.964933932548798,4093,CATT,10.112029234559488,39901,high_SDI,PBMC,T_cell_rich,4.14709530201069,T_cell_rich_high_SDI,0.04550880696750659,0.28280510720459096,0.23729630023708437
addsample09,6.016446622875117,476,MIXCR,10.016192561526035,50386,high_SDI,PBMC,T_cell_rich,3.9997459386509178,T_cell_rich_high_SDI,0.07492758495221252,0.0241623901053295,0.05076519484688302
addsample09,4.456104145270787,88,IMREP,10.016192561526035,50386,high_SDI,PBMC,T_cell_rich,5.5600884162552475,T_cell_rich_high_SDI,0.07492758495221252,0.004742254176357763,0.07018533077585476
addsample09,5.598835954305321,540,TRUST4,10.016192561526035,50386,high_SDI,PBMC,T_cell_rich,4.4173566072207135,T_cell_rich_high_SDI,0.07492758495221252,0.11010499445955868,0.03517740950734616
addsample09,6.339824240623028,3555,CATT,10.016192561526035,50386,high_SDI,PBMC,T_cell_rich,3.6763683209030065,T_cell_rich_high_SDI,0.07492758495221252,0.22459164868753778,0.14966406373532526
addsample10,6.250274451561704,652,MIXCR,9.746117120281884,35360,high_SDI,PBMC,T_cell_rich,3.4958426687201802,T_cell_rich_high_SDI,0.06943531273978876,0.03545810652521719,0.033977206214571565
addsample10,4.58509489971689,116,IMREP,9.746117120281884,35360,high_SDI,PBMC,T_cell_rich,5.161022220564994,T_cell_rich_high_SDI,0.06943531273978876,0.03544590185849783,0.03398941088129093
addsample10,5.996569883043253,742,TRUST4,9.746117120281884,35360,high_SDI,PBMC,T_cell_rich,3.749547237238631,T_cell_rich_high_SDI,0.06943531273978876,0.09271402335980461,0.023278710620015852
addsample10,5.710518962127928,3939,CATT,9.746117120281884,35360,high_SDI,PBMC,T_cell_rich,4.035598158153956,T_cell_rich_high_SDI,0.06943531273978876,0.31021401115384306,0.2407786984140543
