Sample,shannon_index_tool,clonotype_count_tool,tool,shannon_index_TCR,clonotype_count_TCR,repertoire_type,tissue,tissue_type,SDI_absolute_error,class,clonality_TCR,clonality_tool,clonality_absolute_error
addsample01,4.976814954756788,150,MIXCR,7.951096192806194,3123,high_SDI,PBMC,T_cell_rich,2.9742812380494055,T_cell_rich_high_SDI,0.011862620887360675,0.006749710835932454,0.005112910051428221
addsample01,4.709526194793295,117,IMREP,7.951096192806194,3123,high_SDI,PBMC,T_cell_rich,3.241569998012899,T_cell_rich_high_SDI,0.011862620887360675,0.011055400479969557,0.0008072204073911182
addsample01,5.902409421752095,470,TRUST4,7.951096192806194,3123,high_SDI,PBMC,T_cell_rich,2.048686771054099,T_cell_rich_high_SDI,0.011862620887360675,0.040684893261732635,0.02882227237437196
addsample01,4.004364396302461,760,CATT,7.951096192806194,3123,high_SDI,PBMC,T_cell_rich,3.946731796503733,T_cell_rich_high_SDI,0.011862620887360675,0.39632561943476885,0.3844629985474082
addsample02,4.664016503554845,222,MIXCR,7.82471346467911,7038,high_SDI,PBMC,T_cell_rich,3.1606969611242652,T_cell_rich_high_SDI,0.11675771444044003,0.13672126357125802,0.019963549130817992
addsample02,4.437385052542693,156,IMREP,7.82471346467911,7038,high_SDI,PBMC,T_cell_rich,3.3873284121364176,T_cell_rich_high_SDI,0.11675771444044003,0.12128483541463075,0.004527120974190724
addsample02,5.813775944350823,739,TRUST4,7.82471346467911,7038,high_SDI,PBMC,T_cell_rich,2.0109375203282873,T_cell_rich_high_SDI,0.11675771444044003,0.1198313817287675,0.003073667288327475
addsample02,4.489984500121985,933,CATT,7.82471346467911,7038,high_SDI,PBMC,T_cell_rich,3.334728964557125,T_cell_rich_high_SDI,0.11675771444044003,0.3434164299644553,0.2266587155240153
addsample03,3.9564786144229473,54,MIXCR,9.434150107553528,17329,high_SDI,PBMC,T_cell_rich,5.477671493130581,T_cell_rich_high_SDI,0.03339979560260964,0.008148799734941092,0.025250995867668546
addsample03,3.815571778893007,47,IMREP,9.434150107553528,17329,high_SDI,PBMC,T_cell_rich,5.61857832866052,T_cell_rich_high_SDI,0.03339979560260964,0.00898038890812769,0.02441940669448195
addsample03,5.430119308552009,275,TRUST4,9.434150107553528,17329,high_SDI,PBMC,T_cell_rich,4.0040307990015185,T_cell_rich_high_SDI,0.03339979560260964,0.03323115467392024,0.00016864092868940084
addsample03,5.408798983099048,1142,CATT,9.434150107553528,17329,high_SDI,PBMC,T_cell_rich,4.025351124454479,T_cell_rich_high_SDI,0.03339979560260964,0.23176322323743526,0.19836342763482562
addsample04,4.8855162343413605,139,MIXCR,9.857141039125958,28783,high_SDI,PBMC,T_cell_rich,4.9716248047845975,T_cell_rich_high_SDI,0.03997054468563477,0.00992156397070465,0.030048980714930118
addsample04,4.660628271029964,109,IMREP,9.857141039125958,28783,high_SDI,PBMC,T_cell_rich,5.196512768095994,T_cell_rich_high_SDI,0.03997054468563477,0.006548141807079744,0.033422402878555024
addsample04,5.911937254439554,478,TRUST4,9.857141039125958,28783,high_SDI,PBMC,T_cell_rich,3.945203784686404,T_cell_rich_high_SDI,0.03997054468563477,0.041764949074485136,0.001794404388850368
addsample04,5.207423938588994,951,CATT,9.857141039125958,28783,high_SDI,PBMC,T_cell_rich,4.6497171005369635,T_cell_rich_high_SDI,0.03997054468563477,0.2406251170477237,0.20065457236208895
addsample05,5.817677729839863,406,MIXCR,8.906202261834368,12839,high_SDI,PBMC,T_cell_rich,3.088524531994505,T_cell_rich_high_SDI,0.05856513926335316,0.031412643370837046,0.027152495892516115
addsample05,5.451296711234956,260,IMREP,8.906202261834368,12839,high_SDI,PBMC,T_cell_rich,3.4549055505994115,T_cell_rich_high_SDI,0.05856513926335316,0.01967113513035179,0.03889400413300137
addsample05,6.631902174247305,1047,TRUST4,8.906202261834368,12839,high_SDI,PBMC,T_cell_rich,2.274300087587063,T_cell_rich_high_SDI,0.05856513926335316,0.046275043108831126,0.012290096154522034
